product_id,product_title,part_number,product_name,category,variant,attribute 1 value,attribute 1 name
221,Koni STR.T Dampers – Front Left Side – Part No. 8250-1047,8250-1047,Koni STR.T Dampers,Damper,Front-Left-Side,119|121|123|144|146|152,vehicle_no
222,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1141,8050-1141,Koni STR.T Dampers,Damper,Rear-Left-Side,119|121|123|144|146|152,vehicle_no
223,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1067,VAG-ST1067,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),119|121|123|144|146|152,vehicle_no
224,Koni STR.T Dampers – Front Left Side – Part No. 8250-1048,8250-1048,Koni STR.T Dampers,Damper,Front-Left-Side,113|119|121|123|144|152,vehicle_no
225,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1142,8050-1142,Koni STR.T Dampers,Damper,Rear-Left-Side,113|119|121|123|144|152,vehicle_no
226,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1070,VAG-ST1070,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),113|119|121|123|144|152,vehicle_no
227,Koni Sport Dampers – Front Left Side – Part No. 8240-1261SPORT,8240-1261SPORT,Koni Sport Dampers,Damper,Front-Left-Side,119|121|123|144|146|152,vehicle_no
228,Koni Sport Dampers – Rear Left Side – Part No. 8040-1390SPORT,8040-1390SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,121|123|144|146|152,vehicle_no
229,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1067,VAG-SP1067,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),121|123|144|146|152,vehicle_no
230,Koni Sport Dampers – Front Left Side – Part No. 8240-1279SPORT,8240-1279SPORT,Koni Sport Dampers,Damper,Front-Left-Side,113|119|121|123|144|152|167|179|180|182|183|1336,vehicle_no
231,Koni Sport Dampers – Rear Left Side – Part No. 8040-1402SPORT,8040-1402SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,113|119|121|123|144|152|167|179|180|182|183|1336,vehicle_no
232,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1070,VAG-SP1070,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),113|119|121|123|144|152|167|179|180|182|183|1336,vehicle_no
233,Koni Active Dampers – Front Left Side – Part No. 8245-1396,8245-1396,Koni Active Dampers,Damper,Front-Left-Side,115|117|125|127|129,vehicle_no
234,Koni Active Dampers – Rear Left Side – Part No. 8245-1397,8245-1397,Koni Active Dampers,Damper,Rear-Left-Side,115|117|125|127|129,vehicle_no
235,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1074,VAG-SA1074,Koni Active Dampers,Damper,Full Set ( 4 dampers ),115|117|125|127|129,vehicle_no
236,Koni Active Dampers – Rear Left Side – Part No. 8245-1407,8245-1407,Koni Active Dampers,Damper,Rear-Left-Side,115|117|125|127|129|181,vehicle_no
237,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1075,VAG-SA1075,Koni Active Dampers,Damper,Full Set ( 4 dampers ),115|117,vehicle_no
238,Koni Active Dampers – Front Left Side – Part No. 8245-1406,8245-1406,Koni Active Dampers,Damper,Front-Left-Side,115|117|125|127|129|181,vehicle_no
239,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1076,VAG-SA1076,Koni Active Dampers,Damper,Full Set ( 4 dampers ),115|117|125|127|129|181,vehicle_no
240,Koni Sport Dampers – Front Left Side – Part No. 8241-1316SPORT,8241-1316SPORT,Koni Sport Dampers,Damper,Front-Left-Side,115|117|125|127|129,vehicle_no
241,Koni Sport Dampers – Rear Left Side – Part No. 8240-1319SPORT,8240-1319SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,115|117|125|127|129|181,vehicle_no
242,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1075,VAG-SP1075,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),115|117|125|127|129,vehicle_no
243,Koni Sport Dampers – Front Left Side – Part No. 8241-1317SPORT,8241-1317SPORT,Koni Sport Dampers,Damper,Front-Left-Side,115|117|125|127|129|181,vehicle_no
244,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1076,VAG-SP1076,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),115|117|125|127|129|181,vehicle_no
245,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1068,VAG-SA1068,Koni Active Dampers,Damper,Full Set ( 4 dampers ),119,vehicle_no
