ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Product Type","Shipping Class","Product Visibility","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Brands,"Product categories","Product Tags",Make,Model,Listing,Year,Engine,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating",Children
12756,"Koni/HR Sport Kit - 1140-3603","<ul>
  <li>Koni/HR Sport Kit - 1140-3603 Kits (Part No</li>
  <li>1140-3603)</li>
  <li>Front lowering: 35mm</li>
  <li>Notes: 1,2,13,16</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR Sport Kit - 1140-3603 kits – fits 2+ vehicles. PN 1140-3603.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-sport-kit-1140-3603/,0,1140-3603,1040.4,1040.4,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-sport-kit-1140-3603,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12757,"Koni/Apex Active Kit - 1135-5051A","<ul>
  <li>Koni/Apex Active Kit - 1135-5051A Kits (Part No</li>
  <li>1135-5051A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Kit - 1135-5051A kits – fits 1+ vehicles. PN 1135-5051A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-kit-1135-5051a/,0,1135-5051A,800.7,800.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-kit-1135-5051a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12758,"Koni/HR STR.T Kit - 1120-5051","<ul>
  <li>Koni/HR STR.T Kit - 1120-5051 Kits (Part No</li>
  <li>1120-5051)</li>
  <li>Front lowering: 30mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR STR.T Kit - 1120-5051 kits – fits 2+ vehicles. PN 1120-5051.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-str-t-kit-1120-5051/,0,1120-5051,697.68,697.68,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-str-t-kit-1120-5051,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12759,"Koni/Apex STR.T Kit - 1120-5051A","<ul>
  <li>Koni/Apex STR.T Kit - 1120-5051A Kits (Part No</li>
  <li>1120-5051A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Kit - 1120-5051A kits – fits 1+ vehicles. PN 1120-5051A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-kit-1120-5051a/,0,1120-5051A,616.08,616.08,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-kit-1120-5051a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12760,"Koni/HR Sport Kit - 1140-5051","<ul>
  <li>Koni/HR Sport Kit - 1140-5051 Kits (Part No</li>
  <li>1140-5051)</li>
  <li>Front lowering: 30mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15,16</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR Sport Kit - 1140-5051 kits – fits 2+ vehicles. PN 1140-5051.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-sport-kit-1140-5051/,0,1140-5051,1040.4,1040.4,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-sport-kit-1140-5051,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12761,"Koni/Apex Sport Kit - 1140-5051A","<ul>
  <li>Koni/Apex Sport Kit - 1140-5051A Kits (Part No</li>
  <li>1140-5051A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15,16</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Sport Kit - 1140-5051A kits – fits 1+ vehicles. PN 1140-5051A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-sport-kit-1140-5051a/,0,1140-5051A,1004.7,1004.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-sport-kit-1140-5051a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12762,"Koni/Apex Active Kit - 1135-5052A","<ul>
  <li>Koni/Apex Active Kit - 1135-5052A Kits (Part No</li>
  <li>1135-5052A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Kit - 1135-5052A kits – fits 1+ vehicles. PN 1135-5052A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-kit-1135-5052a/,0,1135-5052A,800.7,800.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-kit-1135-5052a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12763,"Koni/HR STR.T Kit - 1120-5052","<ul>
  <li>Koni/HR STR.T Kit - 1120-5052 Kits (Part No</li>
  <li>1120-5052)</li>
  <li>Front lowering: 30mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR STR.T Kit - 1120-5052 kits – fits 2+ vehicles. PN 1120-5052.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-str-t-kit-1120-5052/,0,1120-5052,697.68,697.68,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-str-t-kit-1120-5052,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12764,"Koni/Apex STR.T Kit - 1120-5052A","<ul>
  <li>Koni/Apex STR.T Kit - 1120-5052A Kits (Part No</li>
  <li>1120-5052A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Kit - 1120-5052A kits – fits 1+ vehicles. PN 1120-5052A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-kit-1120-5052a/,0,1120-5052A,616.08,616.08,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-kit-1120-5052a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12765,"Koni/HR Sport Kit - 1140-5052","<ul>
  <li>Koni/HR Sport Kit - 1140-5052 Kits (Part No</li>
  <li>1140-5052)</li>
  <li>Front lowering: 30mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15,16</li>
  <li>Compatible with 2 vehicle variants (see fitment list)</li>
</ul>","Koni/HR Sport Kit - 1140-5052 kits – fits 2+ vehicles. PN 1140-5052.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-hr-sport-kit-1140-5052/,0,1140-5052,1040.4,1040.4,,instock,,,0,simple,,,,,,,,,,H&amp;R|Koni,H&amp;R|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-hr-sport-kit-1140-5052,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12766,"Koni/Apex Sport Kit - 1140-5052A","<ul>
  <li>Koni/Apex Sport Kit - 1140-5052A Kits (Part No</li>
  <li>1140-5052A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15,16</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Sport Kit - 1140-5052A kits – fits 1+ vehicles. PN 1140-5052A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-sport-kit-1140-5052a/,0,1140-5052A,1004.7,1004.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-sport-kit-1140-5052a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12767,"Koni/Apex Active Kit - 1135-5053A","<ul>
  <li>Koni/Apex Active Kit - 1135-5053A Kits (Part No</li>
  <li>1135-5053A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Kit - 1135-5053A kits – fits 1+ vehicles. PN 1135-5053A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-kit-1135-5053a/,0,1135-5053A,800.7,800.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-kit-1135-5053a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12768,"Koni/Apex STR.T Kit - 1120-5053A","<ul>
  <li>Koni/Apex STR.T Kit - 1120-5053A Kits (Part No</li>
  <li>1120-5053A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Kit - 1120-5053A kits – fits 1+ vehicles. PN 1120-5053A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-kit-1120-5053a/,0,1120-5053A,616.08,616.08,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-kit-1120-5053a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12769,"Koni/Apex Sport Kit - 1140-5053A","<ul>
  <li>Koni/Apex Sport Kit - 1140-5053A Kits (Part No</li>
  <li>1140-5053A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15,16</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Sport Kit - 1140-5053A kits – fits 1+ vehicles. PN 1140-5053A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-sport-kit-1140-5053a/,0,1140-5053A,1004.7,1004.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-sport-kit-1140-5053a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12770,"Koni/Apex Active Kit - 1135-5054A","<ul>
  <li>Koni/Apex Active Kit - 1135-5054A Kits (Part No</li>
  <li>1135-5054A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex Active Kit - 1135-5054A kits – fits 1+ vehicles. PN 1135-5054A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-active-kit-1135-5054a/,0,1135-5054A,800.7,800.7,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-active-kit-1135-5054a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
12771,"Koni/Apex STR.T Kit - 1120-5054A","<ul>
  <li>Koni/Apex STR.T Kit - 1120-5054A Kits (Part No</li>
  <li>1120-5054A)</li>
  <li>Front lowering: 35mm</li>
  <li>Exclusions: Excl</li>
  <li>self-levelling systems, Q4, GTA</li>
  <li>Notes: 1,2,13,15</li>
  <li>Compatible with 1 vehicle variants (see fitment list)</li>
</ul>","Koni/Apex STR.T Kit - 1120-5054A kits – fits 1+ vehicles. PN 1120-5054A.",2025-05-23,product,https://t4p.elate-ecommerce.com/shop/koni-apex-str-t-kit-1120-5054a/,0,1120-5054A,616.08,616.08,,instock,,,0,simple,,,,,,,,,,Apex|Koni,Apex|Kits|Koni,,,,,,,publish,1,mvyv40,t4p@grh1.myukcloud.com,Amarjit,Kapur,koni-apex-str-t-kit-1120-5054a,,default,0,0,closed,open,2025-07-08,no,no,,no,,,,,,,no,no,,,,,'-1,'-1,,,no,none,,,,9.9.5,,0,0,0,
